index,sortable,citation_engl,citation_heb,attribution_chain,attributions_cited_in_story,rabbis_mentioned_in_sequel,party_or_parties,party_ids,judge,satlow_sperling_id,judge_gen,Ri,Pu,St,Pr,Vow,Oth,rabb_actor,explicit_case
110,0302.085a.003,Ketubot 85a,כתובות דף פה עמוד א,,,,anon[Ket32_woman],B0302_48,Nahman,2285,B3,,,,1,,,,1
111,0302.085a.004,Ketubot 85a,כתובות דף פה עמוד א,,,[daughter of Hisda],anon[Ket33_woman],B0302_49,Rava,2582,B4,,,,1,,1,,1
112,0302.085a.005,Ketubot 85a,כתובות דף פה עמוד א,,,Pappi,anon[Ket34_woman]; anon[Ket35_litigant],B0302_50; B0302_51,Bibi b. Abbaye,602,B5,,,,1,,,,
113,0302.085b.001,Ketubot 85b,כתובות דף פה עמוד ב,,,,Depositor; heirs of Miyyasha b. b. Joshua,B0302_52; _2085,Ammi,495,P4,,,,1,,,1,
114,0302.085b.002,Ketubot 85b,כתובות דף פה עמוד ב,,,,Depositor; heirs of Hasa,B0302_53; _1344,Nahman,2285,B3,,,,1,,,1,
115,0302.085b.003,Ketubot 85b,כתובות דף פה עמוד ב,,,,house of Dimi = Avdimi P5?],_867,Abba,6,P5?,,,,1,,,1,
116,0302.086a.001; [Segal; p. 20 BQ 98b],Ketubot 86a; [Segal; p. 20 BQ 98b],כתובות דף פו עמוד א,,,Rafram,anon[Ket_54]; anon[Ket_55],B0302_54; B0302_55,Ashi,571,B6,,,,1,,,?,
117,0302.091a.001,Ketubot 91a,כתובות דף צא עמוד א,,,,heirs of wives of bar Sarsur,_770,Amram; Nahman,2285,B2/B3,,,1,1,,,?,
118,0302.091b.001,Ketubot 91b,כתובות דף צא עמוד ב,,,,anon[Ket36_creditor]; anon[Ket37_heirs],B0302_56; B0302_57,Abbaye,121,B4,,,,1,,,,
119,0302.094b.002,Ketubot 94b,כתובות דף צד עמוד ב,,,,anon[Ket38_creditor]; anon[K39_creditor],B0302_59; B0302_60,Joseph,1764,B3,,,,1,,,,
120,0302.098a.001,Ketubot 98a,כתובות דף צח עמוד א,,Simeon,,anon[Ket40_widow];anon[Ket41_heirs],B0302_61; B0302_62+,Rava,2582,B4,,,,1,,,,
121,0302.098a.002,Ketubot 98a,כתובות דף צח עמוד א,,,,depositary orphans,B0302_63; B0302_64+,Ammi,495,P4,,,,1,,,,
122,0302.104b.001,Ketubot 104b,כתובות דף קד עמוד ב,,,,Hiyya Arikha; MIL+,1090; _1090,Rabbah b. Shela,2627,B3,,,1,1,,,1,1
123,0302.109b.001,Ketubot 109b,כתובות דף קט עמוד ב,,Yohanan,,anon[Ket43_epitropos of estate],B0302_102,Abbaye,121,B4,,,,1,,,,
124,0302.111a.001,Ketubot 111a,כתובות דף קיא עמוד א,,,,anon[Ket44_levir],B0302_65,Hanina,1213,P1,,,1,,,1,,
125,0302.60a.001,Ketubot 60a,כתובות דף ס עמוד א,,,Dimi b. Yosef,anon[Ket22],B0302_66,Samuel,2763,B1,,,1,,,,,
126,0303.007b.001,Nedarim 7b,נדרים דף ז עמוד ב,,,,One banned by  Yirmiah b. Abba,_1954,Hisda,1345,B3,,,,,1,,1,
127,0303.008b.001,Nedarim 8b,נדרים דף ח עמוד ב,,,,Rabina,2647,Ashi,571,B6,,,,,1,,1,
128,0303.020b.001,Nedarim 20b,נדרים דף כ עמוד ב,,,,anon,0303_01,Rabbi,1508,L,,,,,,1,,
129,0303.020b.002,Nedarim 20b,נדרים דף כ עמוד ב,,,,anon,0303_02,Rab,2578,B1,,,,,,1,,
130,0303.021b.001,Nedarim 21b,נדרים דף כא עמוד ב,,,,anon,0303_03,Huna,895,B2? B5?,,,,,1,,,
131,0303.021b.002,Nedarim 21b,נדרים דף כא עמוד ב,,,,anon,0303_04,Rabbah b. Huna,2596,B4,,,,,1,,,
132,0303.021b.003,Nedarim 21b,נדרים דף כא עמוד ב,,,,anon,0303_05,Assi,534,B6?,,,,,1,,,
133,0303.021b.004,Nedarim 21b,נדרים דף כא עמוד ב,,,,anon,0303_06,Eleazar,467,P3,,,,,1,,,
134,0303.021b.005,Nedarim 21b,נדרים דף כא עמוד ב,,,,anon,0303_07,Yohanan,1570,P2,,,,,1,,,
135,0303.022a.001,Nedarim 22a,נדרים דף כב עמוד א,,,,grandson of Yannai,_1814,Yannai Sabba,1814,P1?,,,,,1,,1,
136,0303.022b.001,Nedarim 22b,נדרים דף כב עמוד א,,,,Ulla,2409,Yohanan,1570,P2,,,,,,1,1,
137,0303.022b.002,Nedarim 22b,נדרים דף כב עמוד ב,,,,anon,0303_08,Assi,534,B6?,,,,,1,?,,
138,0303.022b.003,Nedarim 22b,נדרים דף כב עמוד ב,,Rabbi [Abot],Raba,Sehora,2364,Nahman,2285,B3,,,,,1,,1,1
139,0303.023a.001,Nedarim 23a,נדרים דף כג עמוד א,,,,Abbaye,121,Yosef,1764,B3,,,,,1,,1,1
140,0303.025a.001,Nedarim 25a,נדרים דף כה עמוד א,,,,anon woman,0303_13,Raba,2582,B4,,,,1,1,,,1
141,0303.050b.001,Nedarim 50b,נדרים דף נ עמוד ב,,,,anon woman,0303_09,Judah [of Nehardea?],1394,B2,,,,,,1,?,
142,0303.050b.002,Nedarim 50b,נדרים דף נ עמוד ב,,,,anon; anon,0303_10;0303_11,Rabbi,1508,L,,,,?,,1,,
143,0303.059a.001,Nedarim 59a,נזיר דף נט עמוד א,,,,One brought for flogging,B0304_01,Ammi,495,P?,,,,,,1,,
144,0303.090a.001,Nedarim 90a,נדרים דף צ עמוד א,,,,Aha b. Huna; student,,Hisda,1345,B3,,,,,1,,1,1
145,0306.005b.001,Gittin 5b,גיטין דף ה עמוד ב,,,,Simeon b. Abba,2839,Joshua b. Levi,1544,P1,,,1,,,1,1,
146,0306.005b.002,Gittin 5b,גיטין דף ה עמוד ב,,,,Rabin b. Hisda,149,Yohanan,1570,P2,,,1,,,1,1,
147,0306.005b.003,Gittin 5b,גיטין דף ה עמוד ב,,,,Bar Hadaya,723,*Ahi; Ami; Assi,*581;495;535,B1; P3; P3,,,1,,,1,1,
148,0306.005b.004,Gittin 5b,גיטין דף ה עמוד ב,,,,Rabbah bar bar Hanah,2594,Eliezer,497,P3,,,1,,,1,1,
149,0306.006a.001,Gittin 6a,גיטין דף ו עמוד א,,Hanin,,Kahana,2004,Rab,2578,B1,,,1,,,1,1,
150,0306.014a.001,Gittin 14a,גיטין דף יד עמוד א,,Huna,Raba,Gardeners (1); gardeners (others),0306_01;0306_02+,Nahman,2285,B3,,,,1,,,,
151,0306.018b.001,Gittin 18b,גיטין דף יח עמוד ב,,Simeon (T),,Husband; agents; [wife],0306_03;0306_4+;0306_05,Joshua b. Levi,1544,P1,,,1,,,1,,
152,0306.019a.001,Gittin 19a,גיטין דף יט עמוד א,,,,Who exactly?,0306_06,Kahana,2004,?,,,,,,1,,
153,0306.027a.001,Gittin 27a,גיטין דף כז עמוד א,,,,finder?,0306_07,Rabbah,2581,B3,,,1,,,1,,
154,0306.029b.001,Gittin 29b,גיטין דף כט עמוד ב,,,,Agent of husband,0306_08,Raba,2582,B4,,,1,,,,,
155,0306.033a.001,Gittin 33a,גיטין דף לג עמוד ב,Rabbah bar bar Hanah,,,husband; [wife],0306_09;0306_10,Yoshia de-min Usha,1388,P2,,,1,,,,,
