Source,Target,Type,Id,sortable,partyname,judgename,judgegen_composite,judgegen,judgegeog,rabb. actor
akbara_deyativ_adinare,1986,Directed,1824,0404.029b.003,"""Akbera deyatib adinare""",Ishmael b. Yose,T,0,P,X
2004,2578,Directed,1409,0402.049a.002,Kahana[B2],Rab,B1,1,B,Y
0306_06,2004,Directed,1527,0306.019a.001,Who exactlyx,Kahana,Bx,X,B,N
B0403_84,2004,Directed,1318,0403.088a.002,anon[BB-42; customers],Kahana,Bx,X,B,N
B0403_83,2004,Directed,1317,0403.088a.002,anon[BB-41]; merchant],Kahana,Bx,X,B,N
B0403_82,2004,Directed,1316,0403.088a.002,anon[BB-40],Kahana,Bx,X,B,N
people_of_Pum_Nehara+,2004,Directed,1267,0403.022a.002,anon[BB-7; people of the place],Kahana,Bx,X,B,N
Wool_sellers+,2004,Directed,1266,0403.022a.002,anon[BB-6; ‘amra’e],Kahana,Bx,X,B,N
2032,2938,Directed,1611,0503.134b.001,Levi[x],Sheshet,B3,3,B,Y
B0302_27,2032,Directed,1689,0302.052a.001,[anon-heirs],Levi,B3,3,B,N
B0302_26,2032,Directed,1688,0302.052a.001,[anon-widow],Levi,B3,3,B,N
2156,2198,Directed,1513,0101.045b.001,Mar bar Rav Ashi,Maremar,B6,6,B,Y
0301_19,2156,Directed,1636,0301.075b.001,Anon-male,Mar bar Rav Ashi,B7,7,B,N
B0302_35,2161,Directed,1706,0302.063b.001,Anon[Ket27],Mar Zutra,B6,6,B,N
2190,2582,Directed,1609,0503.112b.001,Mari b. Rahel[B4],Raba,B3,3,B,Y
B0503-06,2198,Directed,1578,0503.047a.001,anon(slaughterer or animal owner),Maremar,B5,5,B,N
2199,2582,Directed,1435,0402.097a.002,Maremar b. Hanina[B6x],Raba,B4,4,B,Y
2225,2761,Directed,1812,0206.011b.001,Matena,Samuel,B1,1,B,Y
_1185,2225,Directed,1589,0503.056a.001,House of Rab Hana[x],Matena,B6,6,B,Y
_1781,2277,Directed,1708,0302.065a.001,Wife of Yosef b. Rava,Nehemiah b. Yosef,B5,5,B,Y
